puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,region,league
3IT5eSxshrskP0qXrE8bKjlH0MOEGYZIzt4V2cwM-6xvjfFG-yAL0QU1JXRh-N_fcJYlzmjfBKDTKg,1732,I,234,188,True,False,False,False,kr,challenger
JKM_Swd7Tf-0ZHdQFVKXaZPdC6HT1F98uD678E3E7LYu_Al52LBZM9F_nDOIBYTK4CpFvYq3xn2-QA,1731,I,185,144,True,False,False,False,kr,challenger
XiJ3_qWKmEHtZmW_xcD2cwUNqgvFITu0dTya3SoW2NAXi_FtCI6lZKO3of5VVdoVwwFihp-oJj36eg,1731,I,126,93,True,False,False,False,kr,challenger
vi4NU99EcT8BzJfqShobAC7dhryNVXG_jhPRfuW4nYalruyKki5GlCzkP9kXFAG8LiZbS6mVWklq1g,1731,I,121,82,False,False,False,False,kr,challenger
2-B4macx6NvC05OByOBJuDThUlV7oH7gEwRw9xzFf4utsC2eOV9Ci5Q4csALpP1Nwhk1R-IFU-0qKA,1730,I,116,84,False,False,False,True,kr,challenger
Spd4v6GHZYIYtPeGZYnii-B-s7ytH0MbCRJUd9hCzgIkwhYj-sGL5BZx791ezM3yHOdcMBCzjAFu7Q,1728,I,141,98,True,False,False,False,kr,challenger
pSdURCJMepNnZiQUXbZwu-y7zlWIbicFXORfUqUyWb4Lwu6dzqZHyHel0Ef_ka5h1VmI_9hcsYFZcg,1722,I,179,132,True,False,False,False,kr,challenger
GS0_XD5WF2XlKsP-C9InH_0484TKkXeAoSbme-kW8KgDVXYuhPFdqWLnf57B7ux2SxEyAbU6rswCdQ,1710,I,159,125,True,False,False,False,kr,challenger
q2SEGe1Uzkn7OudaPhc9yhpVfTcf-CzWCLm3etC_OHzesyfZLWt2uDwS7aPGd4_k5Amm87vvPx2rwg,1709,I,174,132,True,False,False,False,kr,challenger
lHSsnb20MJvKGZ6RVbN6fpG7pDz5bQ8ICHIGSfZpR3LuyZLb7eq9bwN-gYDPGMO0X7ckfwxxMDFigw,1709,I,91,57,False,False,True,False,kr,challenger
yTG-7-OqJ5ery2vffanJYsHqZy8xBLyOcSO9PNvBxfYzOtn97W_2S6A-M348emp7V2CkBf3tRG3vlQ,1705,I,160,134,True,False,False,False,kr,challenger
TTIZvr_9y0Iw1nFMyyi814di3lX-tn4xZzq9bBX-XA8CUAaAK6Kvr8t6Py8rcKIKflI1w-0nDZW-WA,1692,I,250,205,True,False,False,False,kr,challenger
biA2mO9AjJAwY_0oTsWR-SaUp2x-EJYjhFVNCeoem9nFI0TgfoGnKuVtppro-A5uQ3p2eQ4gyvUwlw,1691,I,272,241,False,False,True,False,kr,challenger
6Qw7TlnLplpSY3mKugkuJ5Vqr05IA_z9lop0aXTYbIfq7drjmRPz2UqvZIAlvfnJIp71_1HqBipnaw,1690,I,109,75,True,False,False,False,kr,challenger
bwbczwPfrIkq_t4lh_ZGYuzQZ-37dyyQVC6DHidyS6PNweyv4zbJ2JaHxXQnawECLqxhUeMUtEmiww,1682,I,240,206,True,False,False,False,kr,challenger
X5GnFcub1ozILqyCdmQXEd1tgju2yYi_AN58qIPntc7EOiCYt1ElL28EYW9rRWge4lLVsW__c9zw9Q,1670,I,136,97,True,False,False,False,kr,challenger
mrdzvB79oRfrarDsqtL3JLF_2TlBmnuNxiF1EH4kyhDwHuGM5GzvlgvAPRxZX9N4QZp7Fq1NUBYqIQ,1663,I,314,269,True,False,False,True,kr,challenger
O9EiHtSilNZvw6b6bsvlcJMlavLJ0IMibxwWEdvWrigQPs_aHzYwOYXn04IR7iUYPKHulLjFoPl5uw,1662,I,148,119,True,False,False,False,kr,challenger
MexISzOSpv7tujy1srnjI-jCQJ_YPf8ucb_KsbN1F13y45xdbAUW6PGEtlR-gmVSk-W-51_12st_4g,1659,I,241,173,True,False,False,False,kr,challenger
B3Z6gPlOgLb89-JQEsLrR5W38N2RX2yAu5L4c_5Jkpk9OJHx0fAKWATz_ZRQ3sJePCXCZFt83EQcFg,1657,I,216,191,True,False,False,False,kr,challenger
FocvQBdOFj9P_abzGFTwzpAba2Py3imGVXlBMVAt4chtP9xX1NmEq-ShdiyK-JmCJKub3wCrLyauNQ,1638,I,251,227,True,False,False,False,kr,challenger
b3Pmf1DoFKTNGKx5M2RtmSHl7KxwZctZSlxzv2FMw7Qbibr-ae1rsMkVdmqfp5VogpY45TMplfOG3A,1638,I,169,120,False,False,False,False,kr,challenger
eYqCB7MEAR9eUYyOg-YExTZgI1t7Vo4A_CN9bB5toHbbOKD0e5wmX8twO1m3-z7FtH-5hw10hPEFqA,1634,I,159,136,True,False,False,False,kr,challenger
w2FQnUf-aRxjmRQ1tqUADf_jun-t9MmQ4nQ2ngaJj9kAPWa9iirgbCb1ucRXEilzqd5FmVb3YLWsKw,1631,I,273,200,True,False,False,False,kr,challenger
JpeaFkbmTbfHZzWQxmHiCsSP3S31OEq85A3nEqE7ogn9Fxu2rjddNq0A1_uo6p5BA0Cj_AZuBUKV0w,1627,I,144,106,True,False,False,True,kr,challenger
QFNEeyu8rxB__mxT8tmp0mUuggQDOAWM089Rum7pU9jQiz687N3SL-LxebrWmrg1rcK5zdbuV01XDQ,1617,I,102,76,False,False,False,True,kr,challenger
U0vgaR8DFz6bw4U0l6orXI51jxnZp4Sf6AuxheM8WB8CHyOB18MlhGCfH0YPFNO6kZ8uCitgnXVYzA,1613,I,174,157,True,False,False,False,kr,challenger
nOApzR3C9xxFtkUrTFUohjtUZ9E5qHalw_4s6RlS0jrq_nYUCXMeNheFlOiSnGYndpN3SUlKh5Q7YQ,1610,I,139,115,True,False,False,False,kr,challenger
DekvOfJXKqDrhEFhMQ_fPXzUTVHOANKh_FLQNiQP7FoHDO-td6rd56NjMWlqAtsuy7zS-8mzjBGDwA,1600,I,213,188,True,False,False,False,kr,challenger
IRF_L6rCBYOS8X6cww0dFugH9f0UVl3uSG2n7p_oVtqyBDoYo5qXBu9bnTGW0gGlvuqSxf-p7qsILg,1598,I,181,82,False,False,True,False,kr,challenger
n3NdWXRPlsiuW7fmsclcOjqSvvNBwF8haSBRdiAQA7hFNa-Y1VVY1sxQDqUf1JrytCVjp8JsSjORug,1588,I,137,107,False,False,False,True,kr,challenger
66mzINH7pUJwDs60AMN6rblk_J3Vt8bD4dv11nQhrwMM1bhd02X3_Pz6AIrLq7lzOynwibDGSVY3PA,1580,I,213,188,False,False,True,False,kr,challenger
kO-XhWyjtl5QqbubK1Zn7dbg7lzIfT_MOEhDKKpRrelRoZQy35J1Trhbgxdvk5rX_PtCTyP8N1cOpg,1577,I,185,163,True,False,False,False,kr,challenger
aeUwXIYNFJm1LuVWpOwxikxX72pg3VZPyg3khTBQZO3hSTWJ2UT54Q4eZ7FPL0m3y0dokB-puWyA4A,1576,I,114,85,False,False,False,False,kr,challenger
iZqPZ5VNR9YvwHHc2NbMnxBSCBJIWe42GCszWnR6zMl8T40VxdvgHhKG0xvPc9_P2XwSwtR31pDjLw,1575,I,87,46,False,False,False,False,kr,challenger
biWNFi_me9-PK1PAYvPCdKJgyFDecpHsKtXe3uxMJv058Jn0cUXnHGFCObN2XSeuzxdvEDNyOgs3ww,1574,I,228,189,True,False,False,False,kr,challenger
jjjJOZm-QoTreVszZwqLM7OcfAMABtpJy7lQ6BovW4tsgTkOIlGZeeQ0UNOZHj94xXxNu6JInEOmRQ,1572,I,177,138,True,False,False,False,kr,challenger
0mlxZjjyTJXiFTmj-yTI52vw2FqbFeArFVJC1hvddumfdvAC-7VYRss-81CeQriS8jZIvJyoussPUQ,1564,I,221,164,True,False,False,False,kr,challenger
rWY4pwowLRzByZ1s2mSFyvbHTAu4TgNXuiXxyjudJvUYn2QXmgjIzQ0KsCj_ZMJy9M8COjB8E552zw,1564,I,101,69,False,False,False,False,kr,challenger
WTVdAjdHJvpRHOGoqprxYyXxfhMhQDH2IJx1m1jdSkLEsql7OGD_n4vySltmvbwMzAMFcWjgkdtgiQ,1562,I,247,209,True,False,False,True,kr,challenger
fN-xOHwVpiVsZxL5BsYHF1PmPLg8aNzzRvtUxCzI2OYrx180Udi2pfpXHX4t4XYVx5wkqNUUYhIIYg,1556,I,336,260,False,False,False,False,kr,challenger
3AP-7kVbStc-TJKXKpjYlFNKvCcsarIZ3fah7Ax4ceXco9rVeiOH4ubOpKDvVHWPOuX4MdBZ7qzloQ,1553,I,227,222,False,False,True,False,kr,challenger
0bPwFVets0Q4m40i2n1wpuaawh916E8wFQU2XhNTTyG7uo-euJ30BXnxbwwMl9e-ffcIRrBWvoAo-g,1553,I,151,106,False,False,False,False,kr,challenger
4SAqbdMOuqCEpahbzpW05eXTRwZQ_f0Q7eqViMsT14dD9jvMj6rUBtfbiUj_AyFNX_SOsAzbJ8m2JA,1552,I,279,252,False,False,True,False,kr,challenger
48uPK-V4X7kmW5ctkz7KaYzyXtLTD_QQ-pC8Z4XdaDvpQovNfOU1M6jnpsGyH5rgnOzWxCLbgoadxQ,1551,I,140,119,True,False,False,False,kr,challenger
Y8QVaRu2a0MDOJjmtMqwBKEivaoQAQu5JTVwTT1SX2dhaVo98YnYMc7bgWflC5vt3ZxHcRM59iqoGA,1550,I,326,313,False,False,True,False,kr,challenger
PAQlsQIygfjzDWUc3GTMvLZ13JxNLdnpym8F1Xnq6jWZ3lZrTpfkZmclbhiKr1H93Zv-ANse_cR0ng,1549,I,206,160,True,False,False,False,kr,challenger
yM3wL0Lpp7WFE9_OF742Wkgg7jTOcXFjY15CGE28VokPRLhoGfisR_vr1bt7-bKVzI00XJ_cvgGGdg,1545,I,147,130,False,False,False,False,kr,challenger
0FpC70Py7yIuwvfKXeMrGc0CTPXIeK_eV38uKPFUvBwV6Mgj7znuB1XBb-pOLCZi_EiKAcedt4NLgg,1544,I,162,119,False,False,False,False,kr,challenger
GEEJb61uX2KfFR3aC75ymDt_A125TzX1NH0RgGG3Zh2X3l8w9gXdTBzRh0BF_cuyUoub5hSe_S8Uuw,1542,I,344,294,False,False,True,False,kr,challenger
RY5fjr-ywIlxCYiZNNpJ-jrX4HN-FfMnaVPoea_5LDpWUW0aIR0Ugz3fHmBLgsIh4QVNJnw5LGamng,1537,I,266,243,False,False,False,False,kr,challenger
UHtadEgxuNTWlFxUepraMzXD6MgmgVGUwTR3nqDDwS1eomKHIJp-_Ra9iWkyQ_XOAefvMLN0y8kJEw,1530,I,108,76,False,False,False,False,kr,challenger
y5SXgh6hfQpRw3TK1GIYlq4A0nS_kw0WqhHIrTRkp1mgqQbpiJxkcplcg4mnoihm8oln5VGRVxwCMA,1527,I,289,250,False,False,False,True,kr,challenger
uIrpbebRyOp66Wko4XMoiHFNhybEut345pgMxKRbPqKTbYKrPmrX5qK3-XWTK-vH06ITXSzh-F_RRA,1525,I,100,73,False,False,False,False,kr,challenger
gNr8qYWGkkZbUDupTrrYAf0uVWH7vGXTLeh9ofGcSgQubTSh6A_GGvw8Pz_G0NnOmG8izCIpUCxlrg,1522,I,160,140,False,False,True,False,kr,challenger
q87gHlkstnDo-yFSC7rY-SOuhGt7QpaJ6yiruci6AmTTQBL95whvHGy_4OqXThz56ozk3h0QkzcZ-Q,1520,I,243,231,False,False,True,False,kr,challenger
HBfvtA7glkEeMh6orH-35zYkZ1-1Jw_PdlbkK7aIuyR0xcDjVCdjYHBRzGeR-wm850pbzGCEB6PBxg,1514,I,151,94,False,False,False,True,kr,challenger
pZN5UvPGXTPp9Aykbi8w6C_5f5VGVbaTEQfvuwuPx1OiQ9_2iP7F26GfGFI9XNn3rE7VJPxDSjkY7g,1514,I,131,117,True,False,False,False,kr,challenger
gvp1S_1ulHpSYTz6x57O8gY1F5U38p94Mg_KKnYwkFauM93jqfYX7cix_2J1x4d_t1QxfeApWBAE2w,1513,I,152,103,True,False,False,False,kr,challenger
wYy_CmH9oLDhlnGAm6mlgKg58gnh985sre8fWY3FeVRBs38d7kxTlzePHdgpu6rtfUXSNyww4gpSFA,1512,I,263,202,False,False,True,False,kr,challenger
iwJ7Mo4vSW-DcSPTOObSQxlUrsoEZpfbZFtYAV3csvtPTVpMwdgS-Y9a5sLXK1mrNLMDynfwCbOYnA,1512,I,157,125,True,False,False,True,kr,challenger
CbK2pHW0akEiya0Bt7-TIHK0GnRQN_Z-EZvFossS4DvzhxKRRcs60Q-NMCCaLNGUwm1lN930dSeFcw,1510,I,141,111,True,False,False,False,kr,challenger
wCd-X86LsRM7D44hCkI1ze-S4WshjHSYgKow0v7lV6VcjJLfiR72xEV6cIej6STXd4T3SKWt6r0E7A,1509,I,248,190,False,False,False,False,kr,challenger
CR1mxfPBtXLu1E5k7lLm_atBEQW04njaRq0RXANZUSlImbX4S8Mrt6fAhyqmDhWKOCy4WqQ5W1F5KQ,1509,I,163,137,True,False,False,False,kr,challenger
pDpWIxd17m16xchdQlpfg9i6ZWzZR5YF1pvmjUde1Hqhqnnyzv-ynJILYw2umdBuQ9eS1hLdrltFRA,1508,I,258,208,True,False,False,False,kr,challenger
aea1OzoMSK2KHrAuKj-KnrLJ3ztuoBJRkYArI8qFoY9oBSQ5pbLywKrYjXSX5beidvxTHF74tu7_Jg,1507,I,180,113,True,False,False,False,kr,challenger
BkpVUKN1y2Z_luxpO4rF_ft_SdMIBYD0-cTJDvjlOJKehDMz4mt3EmbWYCDeII3s9V-rleKNdugQSg,1507,I,139,127,True,False,False,True,kr,challenger
oyWecrNXkQEcOZdUDz55gyma_cTFUWrNPlN7gzCTxMg4v_xeSJDmFhW53o0da9fj5W1BvNZgL6hBqg,1506,I,181,135,True,False,False,False,kr,challenger
S7BQ_Z9aaID3GHzNL3QKL57TrzknkB2QFnXtNSyw5MJDmqHb25Ht4UTmL4coAKYD0ZcAXXJFJxzcgQ,1506,I,126,82,False,False,False,True,kr,challenger
XoMqIy9slY2GAPyy59lGKvBZnNpB6ERa96k_5z7FDENUQsLWyy_3lEnKhw2oBr7WWLp5nO3vz1I0Ig,1504,I,221,201,False,False,False,False,kr,challenger
uOfu1c1tiW9hIhsd2nDQu8pjmxq9eGll76cunHbaFLJPTt8mOrzkrGJsUQgCe_N0ENzL-q9DHS6J9w,1501,I,147,101,False,False,True,False,kr,challenger
tlood5h9P7tQUUX5G0Ah9anUVSBgRYRsxGsnqdoaId_-GiuB0-kuUG7u03exybLyCyfjR_EBZliVmw,1497,I,123,102,False,False,False,False,kr,challenger
TcVLoU-jp0yiXVWLS-W4ElIKFp5uar4bKH2C1dvIFS5p5-ZUDfUXYv8JI1NBqFgY2Ly8Wh_5-1cyRw,1497,I,117,87,False,False,True,False,kr,challenger
o_01HglDy4knxyun8cJIyt--EnPTZLM1TqUquiWAfmDWOPb1hdbWCGOLcA4pY83vY-RSoIrdbelgpw,1496,I,160,94,True,False,False,False,kr,challenger
qbxR-sNwM3TulimaUyHdH3R7lnBYHjlrPLgA_q42ZMKD6vU96NT9lzp7SeWZH9M8UHi3vWcIgNOiaQ,1494,I,233,176,True,False,False,False,kr,challenger
Wf90i73iJ1SIzEfWia7bmTklDu4xerm2Zi8QlcJpZIhhQ2t26joiYi0GUviYxQ1_GWuCqxU7tifyaA,1494,I,157,131,False,False,False,False,kr,challenger
otb0trJnA_CWp5yzncZcL3aUR4T7bsr92mKj6SoSejYSxYxLPFlUaz9l3OexpbEdfhrJcjC4kYBK0w,1492,I,165,135,True,False,False,False,kr,challenger
bEF3xcwH1tmixAY34Y90UfPXoUT59R-DFv3yhqzgWyWTO53uZJ4TVbVW7Prn1f2tCMiFmTsJVdlgNA,1490,I,259,238,True,False,False,False,kr,challenger
fe43zpJfPhy5pry3iXMb-L1kOrRWHi531u7_QB61csb0ZE4XlIdx6lq17Baw1JlH_a5TR0kUaW9fhg,1490,I,205,166,True,False,False,False,kr,challenger
JlaS_JLxh6SDRYFeM5-jsbzyHYmZbheprpgeQ7-1JLbw5LBm_uxsx8kAghUd9YSP5ewkStGgyBuQZw,1490,I,140,111,False,False,False,False,kr,challenger
ptHpFWx-eG2ZDaYw4pN3l8MPa7-nQI1BUMLx19BgqcyV1PsjLnmYDmOU_hFFk9Xd_OwLwkTUNMOT0A,1489,I,181,151,True,False,False,False,kr,challenger
sFw_VWizZci5OHvB25xI8wTvB6e2Jg71N4B07g7mg1tvDjagW9oqxpN8qwtY5n0QaXFfHwu2seQeNQ,1487,I,123,92,False,False,False,False,kr,challenger
0Ynp5HTuSHNWdgCanOIl0PGwKoWzxwA7gD1kUehRaBHrQ9gxK01PhZYvO2k_iasmReywIdhQzCUrAg,1486,I,271,235,False,False,True,True,kr,challenger
45_YJ7dSonBNn3lbNUBoe8DW3SJkWMynRhg9bfJBlqJ3wHqkLDp-vD8L4VWx5AP7VZ2DHvdNcmNbEw,1485,I,257,209,False,False,False,True,kr,challenger
VJTvCIu0YIf0NiVZlMXTpeH891BwSV2r19NCAjhcR5BHuK_sa-fVGbpo4YUVcZbPMLQWhE0unBETUw,1484,I,156,96,False,False,False,False,kr,challenger
BkM_h5qkAilWH6IJOgI22VzbFkIIEWKvmIVz4pQewLNgI18xVc9947wZUpDZtfS37kB2_rVn58DCow,1483,I,116,86,False,False,False,False,kr,challenger
xKIrLfJ_Qo_tUAYcPS6bMZaMmi7T850wa4UyRKN3kivDITLpbw6ZG8ubL0RymHlEwjleGtJUk_R3Aw,1480,I,205,159,False,False,False,False,kr,challenger
18TeCoDpGYASgNm3ZUjma0MpcQy7okFBd7eH9zdrtDO_xjQnMwvezVAKyEJTqBdWFIDX1IyI-iTpTA,1480,I,102,76,False,False,False,False,kr,challenger
Gy4hzTHlWE5A95hrHL3IXFiUvpUhqELTl5EJjwsj-zLhhfRvvjQjitref8bm4Gz-AGRqFxaBFfEcgQ,1479,I,107,101,False,False,False,False,kr,challenger
HnTv6fRQpiZI6UxvVZAAY0iZDglxDmP736SDcGjUvlBz_grTxC_JxweQEw51tvDMk0-OoxbaVua5aA,1475,I,264,219,False,False,True,False,kr,challenger
JduDfKceC4ogqDu1QhOE4pD9PyDOjPT4gwFfXWOQ7_YXgmgGo5z3Z5w7Vh--ESNKxLTq9TIrgjV4LQ,1474,I,168,147,False,False,False,True,kr,challenger
AkUnoihRr00-yDzv7ckySdLTkJHDeieOQBYE_1ELgATQXTAO4OWBGDQLuTAk5nqH1EowbbYCNahcCA,1474,I,133,108,False,False,True,False,kr,challenger
0iBa02ONhfes0maiI3lL9xO0LZ5OlHGdcdbu2Knof5irKBwVA4VT-gQkFRNjmie-4DBCCflzMO5dlg,1472,I,164,138,False,False,False,True,kr,challenger
A1tof0gNM_hv9TCniZJhzFh4agnNL2N8N5SOwCs0YOvbvDj6foUZjiD-htHRJ1gBLhjKeXjnU1fT5w,1472,I,154,107,False,False,False,True,kr,challenger
9OP6BMncrTKxs1xrViKQYk27BHwUjB2TF7znAMdYg5ZMUwYNwLgpzVhH72Ht9DVh0NqLt7Fn8XLHCQ,1471,I,156,126,False,False,True,False,kr,challenger
_pa3D3KCrDUz419FrUMBHNBEf7og-lzUU4TnIOhslOBT2tlKcfA4UlELZXHN_CmmXrKFJCNRn7Yo7A,1470,I,184,120,True,False,False,True,kr,challenger
lVpzQZkDsIDjaGbGMt5LDZ7rTyWa8hx6jdkHRPWUbROOKp6qpHHEZJSsdGMjLorI-pYA9XM_THCLOw,1469,I,275,223,False,False,False,True,kr,challenger
5DhSt6ZBurIMV58DSLDRQLUtcoV0JHLE3BK0CJ5IYP2GQIk-s6WEmFzAaCJO-uIPfZerkdaqdx-aFA,1467,I,260,229,False,False,False,False,kr,challenger
5Cg3oSOjYxDiINOB_PTZCFgTLOdCbNoUHl92YttFI-EXn4uV2qxRvvi2lxrlLb714li8rPBKxMHLTw,1464,I,149,99,False,False,True,False,kr,challenger
iZcr8Ie8_HCTSKVfyH8nHD6tJRcJ6HyXTRGdtBo7fngeeXgt0XNuKho6ARU6_y2lm3aFWUENsTiZLQ,1464,I,145,123,False,False,True,False,kr,challenger
Vt6t03sp-AEilDj9jST-7jUSgsxxU2g24fmCXC4tUbf-cF6cqKd6ZVsaPfRY2TGK6aBvq7l7PRPYtg,1463,I,238,214,False,False,True,False,kr,challenger
Cife98QHZz5d0WEJVrujeNxSL3CS8hSGEnz4Wg647OK_v2oLh0xn7dHoBQlYV86BFQsJa9_VaN5D8A,1462,I,100,78,False,False,True,False,kr,challenger
ndBoIUeu5XCo8Zs1UPjgUn0sWcCcm7CqMjD9Q1Oq0F1rcI54yJXl-_f34sVUOB7QbSLRqzk7WmZSxg,1461,I,177,125,False,False,False,False,kr,challenger
ZDTsBIWLByzcg-bW93Utv8K52i-LS3ZQTo3RCHAc7CDVFHYi8uT3BMwMsY8TQXktnWGm3NSh9FI7SQ,1459,I,208,156,False,False,True,False,kr,challenger
b6e3wGC1XltbJQtOrFbQk8l_GIeYabSoD0UGCs08qyLOnQFZ7oxbOH5YanVpMhhNO37Ver03Hy0kKw,1459,I,167,138,False,False,True,False,kr,challenger
MxO64VsTDghpyoC7itfvEgw68-0nD2Ljwu71Ji9egFIbLEMVYB_5jwr9u3gQBEXZuK-OEUvgpszsyQ,1457,I,124,118,False,False,False,False,kr,challenger
PLDDEJOpLv-GUQUlD0UrymJkirtZcWj8iKY7zp6MJ7_wx-rpsqxiez2r7SQRpp_9ES8VZFj4sylaQA,1451,I,193,171,False,False,True,False,kr,challenger
